1,2023-01-31,Software Engineering Intern,Newmarket,Magna International,Opportunity to interface with the software and electrical teams to develop embedded automotive solutions.,"https://www.glassdoor.ca/Job/ontario-software-developer-intern-jobs-SRCH_IL.0,7_IS4080_KO8,33.htm?src=GD_JOB_AD&srs=MEMBER_HOME_RECOMMENDED&jl=1008392065642&ao=1136043&s=320&guid=0000018594b3ac04b2ebef0acfc10bfa&pos=104&t=REC_JOBS&vt=w&uido=11016A04729B84A19DAD942C264FFAE4&cs=1_6eb527ee&cb=1673237081868&jobListingId=1008392065642&jrtk=3-3-1gmab7b1vhard801-1gmab7b2pghor801-50862ac9834fd9b5-",0,0
2,2023-01-31,Software Developer Co-Op/Intern,Ottawa,Nokia,Working with senior developers to put in place the automated procedures,https://www.glassdoor.ca/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018594b3bf15ac55648c39cc46ba&src=GD_JOB_AD&t=SR&vt=w&uido=11016A04729B84A19DAD942C264FFAE4&cs=1_190b9531&cb=1673237086192&jobListingId=1008385709870&jrtk=3-0-1gmab7fqbjc8g801-1gmab7frcharn800-6321476d0de2b0ec-,0,0
3,2023-01-31,Software Developer Intern,Ontario,Harris Computer Systems,You will help develop ancillary parts of larger development projects and as skills progress have the potential to take on their own development project to help the team.,https://www.glassdoor.ca/partner/jobListing.htm?pos=104&ao=1136043&s=320&guid=0000018594f40013839e50cda1be337d&src=GD_JOB_AD&t=REC_JOBS&vt=w&uido=11016A04729B84A19DAD942C264FFAE4&cs=1_5cd22516&cb=1673241303849&jobListingId=1008392065642&jrtk=3-3-1gmaf801fkbm8801-1gmaf802ei167801-50862ac9834fd9b5-,0,0
4,2023-01-31,Software Developer Co-Op - Summer 2023,Toronto,Intuit,"As a member of our team, you'll help build and maintain Canada’s #1 tax preparation product.  Together we'll create innovative solutions that delight our customers while solving their biggest problems.",https://campuscareers-intuit.icims.com/jobs/36259/software-developer-co-op---summer-2023-%284-months%29/job?mode=submit_apply&from=assessment,0,0
5,2023-01-31,Portfolio Analytics Developer Co-Op,Toronto,Td,"Students will have the opportunity to work on several projects independently and see their code used in production. Students will gain extensive web and/or backend development experience, exposure to single page application architecture; Python programming experience at the application layer; and significant hands-on SQL database experience.",https://www.glassdoor.ca/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018594f41a9cbf33f831562f485d&src=GD_JOB_AD&t=SR&vt=w&uido=11016A04729B84A19DAD942C264FFAE4&cs=1_d9ee550c&cb=1673241303925&jobListingId=1008382750079&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gmaf86mlkf3l801-1gmaf86nmim8t800-fe6dddcb881c690e--6NYlbfkN0B7zz2OmW4LKSX5pdXcoiPpS4pY9scnjwFl6mzk96G03JzBfenFjYshLvA3LODEO_Xf9HjUkmgOQEdxt5fqw7FuKAaUXsvidvMMBivxkFRZA2GR-oRlz0RVdRUsh7E7BQOwDiDBb_nXVUT6_JB9ptOpnMy7H7x7f8Fv-bEAShOngbsRE391xtQG3RaPivHW0cgo54uwr6vU2rTlre79obr1ejLsHiLZG3eVllCUHmXSqf3o59u6HR3gz8OnqoX8wi_iVvc-uvkfoJIB96UwfEo4QOli1E7J-z5AqbKB97u-ZMCzCrc4jhnz02RwkPRj5c6Uksz-ugEZrGFOrRWcERbGM4vidHN5er0q5x-i_kVwanA5acEqHGQNRpQcXzqtxXNhl0hVjeXpZjZKisebwD4z-Wop4HxHtA0NiWDoczcF-9M_rG4VjHuCVno02XZwmQD3_Y5-te_dilFM7EQfyp9l0m1FNGUDGAGZSQjVPSvwGmpb2N58chDiMEScFrW850xFmJ5TjFTuBi31BjIb-rZ8VAsd1w-0H5rGZ2pfiarBTUwpxSogEssksfrbxkjjUciZKnyiL2a__HT8NPs2s83C_H6dCaNPfJxNdwBMp90dNtPe-h23_JnRJBsmAp9LUDJxpKpEHQFOUT_fHTyGVoxC1zGbbZ6pFm02Wku4EFJCekMSCFPeAQcPKpqu09F7-XM%3D,0,0
6,2023-01-31,Développeur De Logiciels/Software Developer,Remote,Plusgrade,"Joining Labs is a chance to be creative and be involved in the entire software lifecycle. You will take an active part in product ideation, planning, delivery, and iteration. Full stack developers are preferred for this role. If you are a “smart creative” and can combine great ideas with a technical way of thinking, this role could be perfect for you.",https://www.linkedin.com/jobs/view/3421235983/?alternateChannel=search&refId=9jqqMJlqr8iwybq2LPWDLA%3D%3D&trackingId=qpgcoFVQM0Lg2vrr01z85A%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3B%2Bd49wxGPRxyH6Ejb1XTtSQ%3D%3D,0,0
7,2023-01-31,General Application,Montreal,Rovio,"Rovio has opened a Montreal studio, with the goal to reinvent the way people play games. We are building a hand-on team of PC/Console artists, technologists, designers, and creatives to help create our new game. Come help us build a culture of trust, passion, and innovation. We aspire towards radical transparency and candour by empowering each other and harnessing true work/life balance through a hybrid work model.",https://www.linkedin.com/jobs/view/3422121789/?alternateChannel=search&refId=79mc5L55Kr%2B3ZE%2FZ9Llzyg%3D%3D&trackingId=deb4C%2BJ3n9gyjrw0%2Bj1Uqw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Bzwhe02twT%2FWFESQuFMz94g%3D%3D&lici=deb4C%2BJ3n9gyjrw0%2Bj1Uqw%3D%3D,0,0
8,2023-01-31,Software Development Intern,Remote,Esports How,Servicing Workflow Automation Using OpenAI's AI (ML) Language Model and AutoHotkey.,https://www.linkedin.com/jobs/view/3426598034/?alternateChannel=search&refId=5vPCe4ghaSsnnOY%2FGKYvhg%3D%3D&trackingId=24yFLHWNb4K7hdLCTxjAyQ%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BBVdc7p5ZTW29%2Bt6ZSG%2BLqQ%3D%3D,0,0
9,2023-01-31,Developer/Développeur (Java),Remote,Tecsys,"You will contribute to the development of the solution by understanding requirements, performing technical analysis & design, implementing new functionality and correcting defects based on the customer requirements. You will test-drive all development efforts while helping the team maintain a sustainable test pyramid which will help ensure high quality software increments are delivered. You will provide feedback and recommendations on ways to enhance the coherence, productivity and efficiency of your team and organization.",https://www.linkedin.com/jobs/view/3317372293/?alternateChannel=search&refId=OqNJ2u4UmgvTUt%2FSncVbZg%3D%3D&trackingId=OhWnnzkCpufo%2BLkovzrjvQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BBVdc7p5ZTW29%2Bt6ZSG%2BLqQ%3D%3D,0,0
10,2023-01-31,Programmer Analyst Ii,Remote,Thermo Fisher Scientific,"Performs programming tasks as assigned by study project team leads that includes but is not limited to independently creating, executing, maintaining, and validating programs that transfer data across multiple data management systems or operating systems, combining data from a variety of sources and structures, generating and storing summary data from a variety of sources, generating reports or combining multiple databases and validating programs that generate listings, tables and figures using SAS and standard tools and processes.",https://www.linkedin.com/jobs/view/3401755230/?alternateChannel=search&refId=MRDKkaqnS6Av%2B8eoi6%2Beww%3D%3D&trackingId=Xye%2BuhC%2F%2FIIBvyglTegQng%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BTYSQ78DJSJOfLW8noNsQXg%3D%3D,0,0
